,home,away,date,season,venue,type,toss,winner,man_of_match,points
333,Rising Pune Supergiant,Mumbai Indians,"6th April, 2017",2017 - 2nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 7 wickets,Steve Smith,
334,Gujarat Lions,Kolkata Knight Riders,"7th April, 2017",2017 - 3rd Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 10 wickets,Chris Lynn,
335,Kings XI Punjab,Rising Pune Supergiant,"8th April, 2017",2017 - 4th Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Glenn Maxwell,
336,Royal Challengers Bangalore,Delhi Daredevils,"8th April, 2017",2017 - 5th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,
337,Sunrisers Hyderabad,Gujarat Lions,"9th April, 2017",2017 - 6th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 9 wickets,Rashid Khan,
338,Mumbai Indians,Kolkata Knight Riders,"9th April, 2017",2017 - 7th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Nitish Rana,
339,Kings XI Punjab,Royal Challengers Bangalore,"10th April, 2017",2017 - 8th Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kings XI Punjab won by 8 wickets,Axar Patel,
340,Rising Pune Supergiant,Delhi Daredevils,"11th April, 2017",2017 - 9th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Delhi Daredevils won by 97 runs,Sanju Samson,
341,Mumbai Indians,Sunrisers Hyderabad,"12th April, 2017",2017 - 10th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Jasprit Bumrah,
342,Kolkata Knight Riders,Kings XI Punjab,"13th April, 2017",2017 - 11th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 8 wickets,Sunil Narine,
343,Royal Challengers Bangalore,Mumbai Indians,"14th April, 2017",2017 - 12th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Kieron Pollard,
344,Gujarat Lions,Rising Pune Supergiant,"14th April, 2017",2017 - 13th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 7 wickets,Andrew Tye,
345,Kolkata Knight Riders,Sunrisers Hyderabad,"15th April, 2017",2017 - 14th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won by 17 runs,Robin Uthappa,
346,Delhi Daredevils,Kings XI Punjab,"15th April, 2017",2017 - 15th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 51 runs,Corey Anderson,
347,Mumbai Indians,Gujarat Lions,"16th April, 2017",2017 - 16th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Nitish Rana,
348,Royal Challengers Bangalore,Rising Pune Supergiant,"16th April, 2017",2017 - 17th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Rising Pune Supergiant won by 27 runs,Ben Stokes,
349,Delhi Daredevils,Kolkata Knight Riders,"17th April, 2017",2017 - 18th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kolkata Knight Riders won by 4 wickets,Nathan Coulter-Nile,
350,Sunrisers Hyderabad,Kings XI Punjab,"17th April, 2017",2017 - 19th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Sunrisers Hyderabad won by 5 runs,Bhuvneshwar Kumar,
351,Gujarat Lions,Royal Challengers Bangalore,"18th April, 2017",2017 - 20th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,
352,Sunrisers Hyderabad,Delhi Daredevils,"19th April, 2017",2017 - 21st Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,
353,Kings XI Punjab,Mumbai Indians,"20th April, 2017",2017 - 22nd Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Jos Buttler,
354,Kolkata Knight Riders,Gujarat Lions,"21st April, 2017",2017 - 23rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 4 wickets,Suresh Raina,
355,Sunrisers Hyderabad,Rising Pune Supergiant,"22nd April, 2017",2017 - 24th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 6 wickets,M S Dhoni,
356,Mumbai Indians,Delhi Daredevils,"22nd April, 2017",2017 - 25th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 14 runs,Mitchell McClenaghan,
357,Kings XI Punjab,Gujarat Lions,"22nd April, 2017",2017 - 26th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Kings XI Punjab won by 26 runs,Hashim Amla,
358,Kolkata Knight Riders,Royal Challengers Bangalore,"23rd April, 2017",2017 - 27th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kolkata Knight Riders won by 82 runs,Nathan Coulter-Nile,
359,Mumbai Indians,Rising Pune Supergiant,"24th April, 2017",2017 - 28th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Rising Pune Supergiant won by 3 runs,Ben Stokes,
360,Royal Challengers Bangalore,Sunrisers Hyderabad,"25th April, 2017",2017 - 29th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day Match",No Toss,Match abandoned,No Award,"Royal Challengers Bangalore 1, Sunrisers Hyderabad 1"
361,Rising Pune Supergiant,Kolkata Knight Riders,"26th April, 2017",2017 - 30th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Robin Uthappa,
362,Royal Challengers Bangalore,Gujarat Lions,"27th April, 2017",2017 - 31st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 7 wickets,Andrew Tye,
363,Kolkata Knight Riders,Delhi Daredevils,"28th April, 2017",2017 - 32nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Gautam Gambhir,
364,Kings XI Punjab,Sunrisers Hyderabad,"28th April, 2017",2017 - 33rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Sunrisers Hyderabad won by 26 runs,Rashid Khan,
365,Rising Pune Supergiant,Royal Challengers Bangalore,"29th April, 2017",2017 - 34th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,
366,Gujarat Lions,Mumbai Indians,"29th April, 2017",2017 - 35th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to bat,Mumbai Indians won in super over after scores were tied,Krunal Pandya,"Mumbai Indians 2, Gujarat Lions 0"
367,Kings XI Punjab,Delhi Daredevils,"30th April, 2017",2017 - 36th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 10 wickets,Sandeep Sharma,
368,Sunrisers Hyderabad,Kolkata Knight Riders,"30th April, 2017",2017 - 37th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Sunrisers Hyderabad won by 48 runs,David Warner,
369,Mumbai Indians,Royal Challengers Bangalore,"1st May, 2017",2017 - 38th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Mumbai Indians won by 5 wickets,Rohit Sharma,
370,Rising Pune Supergiant,Gujarat Lions,"1st May, 2017",2017 - 39th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 5 wickets,Ben Stokes,
371,Delhi Daredevils,Sunrisers Hyderabad,"2nd May, 2017",2017 - 40th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Mohammed Shami,
372,Kolkata Knight Riders,Rising Pune Supergiant,"3rd May, 2017",2017 - 41st Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 4 wickets,Rahul Tripathi,
373,Delhi Daredevils,Gujarat Lions,"4th May, 2017",2017 - 42nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Rishabh Pant,
374,Royal Challengers Bangalore,Kings XI Punjab,"5th May, 2017",2017 - 43rd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,
375,Sunrisers Hyderabad,Rising Pune Supergiant,"6th May, 2017",2017 - 44th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,
376,Delhi Daredevils,Mumbai Indians,"6th May, 2017",2017 - 45th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 146 runs,Lendl Simmons,
377,Royal Challengers Bangalore,Kolkata Knight Riders,"7th May, 2017",2017 - 46th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Sunil Narine,
378,Kings XI Punjab,Gujarat Lions,"7th May, 2017",2017 - 47th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 6 wickets,Dwayne Smith,
379,Sunrisers Hyderabad,Mumbai Indians,"8th May, 2017",2017 - 48th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Shikhar Dhawan,
380,Kings XI Punjab,Kolkata Knight Riders,"9th May, 2017",2017 - 49th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kings XI Punjab won by 14 runs,Mohit Sharma,
381,Gujarat Lions,Delhi Daredevils,"10th May, 2017",2017 - 50th Match,"Green Park, Kanpur","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 2 wickets,Shreyas Iyer,
382,Mumbai Indians,Kings XI Punjab,"11th May, 2017",2017 - 51st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,
383,Delhi Daredevils,Rising Pune Supergiant,"12th May, 2017",2017 - 52nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 7 runs,Karun Nair,
384,Gujarat Lions,Sunrisers Hyderabad,"13th May, 2017",2017 - 53rd Match,"Green Park, Kanpur","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 8 wickets,Mohammed Siraj,
385,Kolkata Knight Riders,Mumbai Indians,"13th May, 2017",2017 - 54th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Mumbai Indians won by 9 runs,Ambati Rayudu,
386,Rising Pune Supergiant,Kings XI Punjab,"14th May, 2017",2017 - 55th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 9 wickets,Jaydev Unadkat,
387,Delhi Daredevils,Royal Challengers Bangalore,"14th May, 2017",2017 - 56th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 10 runs,Harshal Patel,
388,Mumbai Indians,Rising Pune Supergiant,"16th May, 2017",2017 - 1st Qualifying Final,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,
389,Sunrisers Hyderabad,Kolkata Knight Riders,"17th May, 2017",2017 - Elimination Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets [D/L Method],Nathan Coulter-Nile,
390,Mumbai Indians,Kolkata Knight Riders,"19th May, 2017",2017 - 2nd Qualifying Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Karn Sharma,
391,Mumbai Indians,Rising Pune Supergiant,"21st May, 2017",2017 - Final,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 1 run,Krunal Pandya,
392,Mumbai Indians,Chennai Super Kings,"7th April, 2018",2018 - 1st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 1 wicket,Dwayne Bravo,
393,Kings XI Punjab,Delhi Daredevils,"8th April, 2018",2018 - 2nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,KL Rahul,
394,Kolkata Knight Riders,Royal Challengers Bangalore,"8th April, 2018",2018 - 3rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 4 wickets,Sunil Narine,
395,Sunrisers Hyderabad,Rajasthan Royals,"9th April, 2018",2018 - 4th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 9 wickets,Shikhar Dhawan,
396,Chennai Super Kings,Kolkata Knight Riders,"10th April, 2018",2018 - 5th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 5 wickets,Sam Billings,
397,Rajasthan Royals,Delhi Daredevils,"11th April, 2018",2018 - 6th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Rajasthan Royals won by 10 runs [D/L Method],Sanju Samson,"Rajasthan Royals 2, Delhi Daredevils 0"
398,Mumbai Indians,Sunrisers Hyderabad,"12th April, 2018",2018 - 7th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 1 wicket,Rashid Khan,
399,Kings XI Punjab,Royal Challengers Bangalore,"13th April, 2018",2018 - 8th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 4 wickets,Umesh Yadav,
400,Mumbai Indians,Delhi Daredevils,"14th April, 2018",2018 - 9th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Jason Roy,
401,Kolkata Knight Riders,Sunrisers Hyderabad,"14th April, 2018",2018 - 10th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 5 wickets,Billy Stanlake,
402,Royal Challengers Bangalore,Rajasthan Royals,"15th April, 2018",2018 - 11th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 19 runs,Sanju Samson,
403,Kings XI Punjab,Chennai Super Kings,"15th April, 2018",2018 - 12th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Kings XI Punjab won by 4 runs,Chris Gayle,
404,Kolkata Knight Riders,Delhi Daredevils,"16th April, 2018",2018 - 13th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,
